1 abacus   n. 算盘

2965 resolution  n. 坚定,决心,决议,决定,果断,刚毅,消退：病理状态的减退,分辨率,清晰度

2966 resolve  n. 决定之事,决心,坚决; v. 决定,解决,决心

2967 resolver  分解器

2968 resolving power  分辨力

2969 resonance  n. 共鸣,共振,洪亮

2970 resource  n. 资源

2971 resource allocation  资源分配

2972 respect  n. 尊敬,关心,方面; v. 尊敬,尊重

2973 respectively  ad. 各自地,分别地

2974 respond  v. 回答,回报,反应

2975 response  n. 反应,回答,响应

2976 rest  a. 其余的; v.&n. 休息; vi. 搁(在),休息; vt. 使休息

2977 restart  重新启动

2978 restore  v. 回复,恢复,归还

2979 restrict  n. 限制、限定、约束; v. 限制,约束

2980 restricted  v. 限制(节流); a. 限制的(受限制的,有限的,保密的)

2981 restricting  限制(的)

2982 restriction  n. 限制,约束; vi. 结果,(作为结果)发生

2983 restrictor  限定器

2984 restructure  v. 更改结构,重健构造

2985 result  n. 结果,成绩,答案; v. 产生,起于,致使

2986 resultant  a. 合成的(有结果的); n. 合成矢量(结果,产物,终结式)

2987 resulting  结果的

2988 resume  v. 再继续,重新开始; n. 简历,履历

2989 resynchronization  n.再同步

2990 resynchronize  v.再同步

2991 retain  v. 保持,保留

2992 retainer  n. 家臣,扈从,保持者

2993 retention  n. 保存(保持力,包装牢固,记忆力,保留物)

2994 retrace  v. 重描,折回,绕回

2995 retransmit  重新发送，传输，中继

2996 retrieval  n. 取回,恢复,修补

2997 retrieve  v. 取回,恢复,补偿; n. 取回,恢复的希望

2998 retrofit  更新

2999 retry  重试

3000 return  n. 返回,归还,报答; v. 返回,归还,回来

3001 returned  退回的

3002 returns  报告，统计表，研究成果

3003 reusable  可再用的

3004 reuse  v. 再使用; vt. 重新使用

3005 reverb  混响

3006 reversal  n. 翻转,倒转,反转

3007 reverse  n. 相反,背面,失败; a. 反面的,相反的,颠倒的; v. 颠倒,逆转,倒退

3008 reverse characters  反白字符

3009 reverse video  反视频

3010 revert  v. 恢复,复归,回到

3011 review  n. 检讨,复习,回顾,评审; v. 温习,检讨,评论

3012 revise  n. 校订,修正,再校稿; v. 校订,修正,校正
3013 revokable  可取消的

3014 revoke  vt. 撤回(回想); n. 取消(回想)

3015 revolutionize  v. 鼓吹革命,大事改革

3016 rewind  回绕,倒带

3017 rework  重做,改写

3018 rewrite  n. 重写,改写; vt. 改写,重写

3019 RGB  (red, green, blue)红绿兰颜色表示法

3020 ribbon  n. 缎带,色带,带状物; v. 用丝带装饰,撕碎

3021 rid  v. 免除,清除,使...获自由

3022 right  a. 对的,正确的; ad. 对; int. 好; n. 权利,右; vt. 纠正; adv.恰恰,正好

3023 rights  权利

3024 rigid  a. 僵硬的,刻板的,严格的

3025 ring  n. 环,戒指,铃声; v. 响,鸣,回响

3026 ripple  n. 涟波,涟漪,波纹; v. 使...起涟漪,起微波,起潺潺声

3027 risc  精简指令系统计算机

3028 roaming  移动

3029 robot  n. 机器人

3030 roll  n. 卷,滚动,名单; v. 滚,使...转动,摇摆

3031 roller  n. 滚筒,滚轴,滚转机

3032 roll-in  滚入

3033 rolling  a. 旋转的,波动的,起伏的; n. 旋转,轰响,动摇

3034 roll-out  滚出

3035 Rom  (read only memory)只读存储器

3036 room  房间,空间

3037 root  n. 根,根源; v. 生根,扎根

3038 root directory  根目录

3039 rostrum camera  活动照相机

3040 rotary  a. 旋转的; n. 运行的机器

3041 rotate  v. (使)旋转

3042 rotate left  左旋90度

3043 rotate right  右旋90度

3044 rotating  旋转的

3045 rotation  n. 旋转,循环

3046 round  n. 圆,范围,巡回; a. 圆的,肥胖的,完全的; v. 弄圆,绕行,使...完全

3047 rounding  舍入,凑整

3048 route  n. 航线,路线; vt. 按路线发送

3049 router   路由程序,路由器

3050 routine  a. 常规的,例行的; n. 例行公事,常规

3051 row  n. 排,船游,吵闹; v. 划,划船,责骂

3052 row height  行高

3053 rule  n. 惯例,规则,统治; v. 裁定,统治,支配; vi. 裁决,统治; vt. 统治

3054 ruler  n. 尺子; n. 统治者

3055 ruler line  标尺线

3056 run  n. 奔跑,路程,趋向; v. 跑,运转,进行,运转,经营,褪色; vbl. 跑,进行,延续

3057 run around  在...四处奔跑

3058 running  n. 赛跑,流出,运转; a. 流动的,跑著的,连续的; vbl. 跑,运转,经营

3059 run-time  运行时间

3060 safe  a. 安全的; n. 保险箱

3061 safely  ad. 安全地

3062 safety  a. 保险的; n. 安全

3063 salary  n. 薪水; vt. 给...薪水

3064 sale  n. 销售,削价出售

3065 salvage  n. 救捞(抢修,废物利用,废弃品,救难费); vt 救捞(抢修,废物利用)

3066 same  a. 同样的; ad. 同样地; pron. 同样的人或事

3067 sample  n. 样品,标本; v. 抽取样品

3068 sampler  n. 样板(取样器,样品检查员)

3069 sampling  n. 抽样(脉冲调制,连续选择); a. 抽样的(脉冲调制的,连续选择的)

3070 satellite  n. 卫星

3071 satisfy  v. 使...满意,赔偿

3072 saturation  n. 饱和(浸透,磁性饱和,色度学章度)

3073 save  n. 救援,救球,节约; v. 解救,保存,节省; prep. 除...之外

3074 saving  n. 存款; vbl. 拯救,救助

3075 say  v. 说,讲

3076 scale  n. 鳞,刻度,衡量,数值范围; v. 依比例决定,攀登

3077 scaling  缩放比例

3078 scan  n. 扫描,押韵,细查; v. 扫描,详细调查,分析韵律

3079 scanner  n. 扫描机,扫描盘,光电子扫描装置

3080 scatter  n. 散播之物,散布; v. 散开,散布,散播

3081 scattered  分散的

3082 scenario  n. 情节,剧本

3083 schedule  n. 时间表,一览表,计划; v. 安排,计划,预定,编制目录

3084 scheduled  adj．预先安排的；定期的

3085 scheduler  调度程序

3086 schema  图解,计划,模式

3087 scientific  a. 科学的

3088 scissoring  剪切,删除

3089 scope  n. 范围

3090 score  n. 得分,刻痕,二十;背景音乐; v. 刻划,划线,得分

3091 scramble  n. 攀缘,争取; v. 攀缘,搅炒,混杂一起

3092 scrap  n. 小片,残余物,废料; v. 扔弃,互相殴打

3093 scratch  n. 抓痕,抓的声音,乱写; v. 搔痒,抓,抹掉

3094 screen  n. 屏,幕,银幕,屏风; v. 选拔,掩蔽,遮蔽

3095 screw  n. 螺丝钉,吝啬鬼,压迫; v. 扭紧,压榨

3096 script  n. 原稿,手稿, 手迹; n. 脚本

3097 scroll  n. 卷轴,目录; v. 卷动

3098 scrolling  卷动

3099 scsi  小型计算机系统接口

3100 seal  n. 印章,封条,海豹; v. 盖印,封闭,猎海豹

3101 seamless  无缝的

3102 search  n. 搜寻,探究; v. 搜寻,探求,调查

3103 searching  搜索的

3104 seasonal  a. 季节的,依照季节的,周期性的

3105 second  n. 秒; a. 第二的,其次的,多余的; a. 第二

3106 secondary  a. 中级的,中等的,次要的

3107 section  n. 部分,章节,部门,路段; 断面,剖面,截面; v. 划分 [同]divide

3108 sector  n. 扇形,扇区; n. 部门,区域

3109 secure  a. 无虑的,安心的,安全的; v. 固定,获得,使...安全

3110 security  n. 安全; n. 保证金,抵押品,债券,证券

3111 see  v. 看见,看出,明白,知道

3112 seek  n. 找寻; v. 寻求,寻找,搜索
3113 seek time  寻道时间

3114 segment  n. 部分; v. 部分,段,分割; vt. 分割

3115 segmentation   程序分段

3116 seismic  a. 地震的

3117 seldom  ad. 很少

3118 select  a. 精选的; n. 被挑选出来的人或物; v. 选择; vi. 选择,挑选,选拔; vt. 选择,挑选

3119 selected  选定的

3120 selection  n. 选择,挑选

3121 selective  a. 选择的,选择性的

3122 selector  n. 挑选者

3123 self  n. 自我,自己,本身

3124 self-check  自检，自校验

3125 semantic  语义的

3126 semicolon  分号

3127 seminar  n. (大学的)研究班,研讨会

3128 send  v. 送给,传,寄

3129 send mail  发送邮件

3130 sender  n. 寄件人,发报机,发话机

3131 sense  n. 侦测,感应,感觉; v. 感觉,了解

3132 sensitive  a. 敏感的,仪器灵敏的,易受伤害的,感光的

3133 sensitivity  n. 敏感,多愁善感,感受性

3134 sensor  n. 传感器，探测器

3135 sent mail  发出邮件

3136 sentence  n. 句子,意见,宣判; v. 宣判,判决

3137 sentinel  n. 哨兵(标记,传送); vt 放哨(守卫)

3138 separate  n. 分开,抽印本; a. 分开的,各自的,单独的; v. 分开,隔开,分居

3139 separated  adj. 分居（未必离婚）

3140 separately  ad. 分别地(各别地,独立地,借助外力地)

3141 separation  n. 分离,分居,缺口

3142 separator  分隔符

3143 septet  七位字节

3144 sequence  n. 序列,继起的事,顺序

3145 sequencer  音序器

3146 sequencing  顺序

3147 sequential  a. 连续的(序贯的)

3148 sequentially  顺序地,继续地

3149 serial  n. 序列,串列; a. 连续的,一连串的

3150 serialize  v. 写成连载长篇而刊登

3151 serif  衬线

3152 serve  v. 可作...用,服务,对待

3153 server  n. 服伺者,服勤者,伺候者

3154 service  n. 服务,公务部门,服役; vt. 维护,保养

3155 servicing  维修

3156 servo  伺服

3157 session  n. 会议,开庭期,市盘

3158 set  n. 组合,集合,设定; n.一套,一副; v. 放置,设定; v.(太阳)落下去

3159 setting  n. 安装,放置,周围,环境

3160 setup  n. 装备,组织,计划

3161 seven  七

3162 several  a. 几个,若干; pron. 几个

3163 severe  a. 剧烈的,严重的,严峻的,严厉的,严格的

3164 severity  n. 严格,严重,激烈

3165 sextet  六位字节

3166 SGML  标准广义置标语言

3167 shade  n. 色度,荫凉处,稍微; v. 渐变,遮蔽,微减

3168 shading  底纹,留下阴影

3169 shadow  n. 影像,阴暗,预兆; v. 遮蔽,使...忧沉,预示

3170 shadow mask  阴罩，障板

3171 shape  n. 形状,定形,身材; v. 定形,使...成形,塑造

3172 share  n. 部份,股份,分担; v. 共享,共有,分配

3173 shareware  共享软件

3174 sharing  共享

3175 sharp  a. 刺耳的,锋利的,急剧的; ad. [时刻]正,准; 夏普(财富500强公司之一，总部所在地日本,主要经营电子电气)

3176 shell  n. 贝壳,壳,外形; v. 去壳,脱落; n.[计算机] DOS命令 : 安装备用的COMMAND.COM文件, 并改变环境尺寸

3177 shell out  退到外壳

3178 shield  n. 盾,防卫物; v. 保护,遮蔽

3179 shift  n. 变化,移动,接班; v. 改变,移转

3180 Shift key  换档键

3181 ship  n. 船,舰; v. 以船运送,乘船,运送

3182 shipment  n. 装船,出货

3183 shipping  n. 船运(发货,运输,乘船)

3184 shoot  n. 射击,芽,发射; v. 射击,发出,发芽

3185 short  a. 短的,矮的; n. 短裤; adv. 短暂地；突然地,急地

3186 shortcut  n. 捷径

3187 shortcut key  快捷键

3188 shorthand  n. 速记

3189 should  conj. 应该,将要

3190 show  n. 显示,表现,表演; v. 表示,显现,展现

3191 showing  显示,放映

3192 shredder  碎纸机

3193 shut  a. 关闭的,合拢的,围绕的; v. 关上,闭起,幽禁; vbl. 关上,闭起,幽禁

3194 shutdown  关机

3195 sibling  n. 兄弟姐妹

3196 side  n. 旁边,侧,方面; a. 旁的,侧的; v. 偏袒

3197 sign  n. 符号,正负号,手势,迹象,招牌; v. 签，做手势，做标记

3198 signal  n. 信号,导火线,动机; v. 向...作信号

3199 signature  1. 签名,签署;画押

3200 signed  带正负号的

3201 significant  a. 有意义的,相当数量的,意味深长的,重要的,重大的

3202 significantly  ad. 较大地(重要地)

3203 silicon  n. 硅

3204 silicon chip  硅片

3205 similar  a. 相似的,类似的,相同,一样

3206 simple  a. 简单的,简朴的,单纯的

3207 simplex  单工的,单一的

3208 simplify  v. 简化,使单纯; vt. 简化

3209 simply  ad.&a. 简单地,仅仅

3210 simulate  v. 假装,冒充,模仿,模拟

3211 simulation  模拟,仿真

3212 simulator  模拟程序
3213 simultaneity  同时性

3214 simultaneous  a. 同时发生的

3215 since  ad. 后来; conj. 既然,因为; prep. 自从

3216 sine  正弦

3217 single  a. 单身的,单纯的,单一的

3218 sit  v. 坐,坐

3219 site  n. 位置,场所; v. 使...位于,使...放置

3220 site licence  站点许可权

3221 situation  n. 位置,形势,局面,处境,状况,职位

3222 six  a. 六,六个

3223 sixteen-bit  16位

3224 size  n. 尺寸,大小; v. 按大小排列或分类; vt. 按大小排列(或分类)

3225 skeleton  n. (建筑物、计划的)骨架,纲要,骨骼

3226 skew  a. 斜交的(不对称的,误解的); n. 斜交(歪斜,歪轮,斜砌石)

3227 skill  n. 技能,技巧

3228 skip  n. 跳跃,跳读; v. 跳越,蹦跳,略过,跳过

3229 slack  n. 松弛,家常裤; a. 松弛的,不流畅的; v. 使松弛,松弛

3230 slash  vt. 深砍(螺纹滚,削减,湿地); n. 深砍(螺纹滚,削减,湿地)，斜线"/"

3231 slave  n. 奴隶,附件,卑鄙的人; v. 拼命工作

3232 sleep  n. 睡眠,静止,睡意; v. 睡觉,睡眠,静止

3233 slice  n. 薄的切片,一部份; v. 切成薄片,分配

3234 slicer  双向限幅器,限制器

3235 slide  n. 滑,幻灯片,雪崩; v. 使滑,滑,跌落

3236 slide show  n.幻灯片放映

3237 slider  滑动器

3238 slot  n. 水沟,细长的孔,狭缝,硬币投币口; n. 组织、系统中的一个位置或空位; v. 留细长的孔

3239 slotting  开槽，打孔

3240 slow  a. 慢的; ad. 慢慢地; v. 放慢,减速

3241 slow scan TV  慢扫描电视

3242 slowly  a. 慢慢地; ad. 缓慢地

3243 small  a. 小的

3244 smart  a. 聪明的,漂亮的; v. 刺痛; a. 时髦的，巧妙的

3245 smart terminal  灵巧终端

3246 smooth  a. 平稳的,流畅的,安祥的; v. 使...光滑,变平滑

3247 smoothed line  平滑线

3248 smoothing  滤除

3249 smudge  n. 污点,渍痕; v. 弄脏; vt. 涂脏

3250 snapshot  快照

3251 so  ad. 如此,如是,如...那样; conj. 所以,因此,所以

3252 soak  n. 浸,湿透,大雨; v. 使上下湿透,浸,吸入

3253 social  a. 社会的

3254 socket  n. 插座,插口

3255 soft  a. 软的

3256 soft disk  软磁盘

3257 software  n. 软件

3258 solely  ad. 独自地,单独地

3259 solid  a. 固体的,结实的,可靠的,实心的; n. 固体

3260 solid color  单色

3261 solitaire  纸牌

3262 solution  n. 解答,解决办法,溶解,溶液

3263 solvability   可解性，溶解度

3264 solve  v. 解答(难题),解决; vt. 解答,解决

3265 solver  解算机，求解程序

3266 somewhat  n. 某物,几分; ad. 多少,几分

3267 son  n. 儿子

3268 sonar  n. 声纳

3269 song  n. 歌曲

3270 song key  歌曲键

3271 sophisticated  a. 诡辩的,久经世故的

3272 sort  n. 种类,样子,态度; v. 分类,整理,排序; n.[计算机] DOS命令 : 在字符型文件中进行数据排序, 或者将DOS命令的输出进行排序

3273 sorter  分类程序,分类机

3274 sound  n. 声音,吵闹,海峡; a. 健全的,可靠的,合理的; v. 听,发出声音,测量

3275 sounding  n. 音响(探测,水的深度,试探); a. 发声的(夸大的)

3276 space  n. 位置,空间,距离; v. 隔开,分隔

3277 spacebar  空格键

3278 spacing  n. 留间隔,空隙,排字法

3279 spare  n. 剩余,备用零件,备用轮胎; a. 多余的,备用的,简陋的; v.节约

3280 spatial  a. 空间的

3281 speaker  n. 说话者,发言者,说某种语言者,扬声器

3282 special  n. 专辑,专车,特色菜,特价,特刊; a. 特别的,专门的

3283 specialize  v. 特殊化

3284 specific  n. 特效药,特性,详情; a. 特殊的,明确的,具有特效的

3285 specifically  ad. 特定的,明确的

3286 specification  n. 规格,详述,详细说明书

3287 specifier  分类符

3288 specify  v. 明确说明,叙述,指定,详细说明

3289 spectral  a. 波谱的

3290 speech  n. 演讲

3291 speed  n. 速度,迅速,超速; v. 加速,超速,推进

3292 spell  n. 一段时间,符咒,魅力; v. (spelt,spelt) 拼,拼写,拼成

3293 spelling  n. 拼法,拼写

3294 spike  n. 长钉,钉鞋; v. 以大钉钉牢,使...失效

3295 spill  n. 溢出,流; v. 溢出,洒,使...流出

3296 spindle  n. 纱锭,纺锤,轴; v. 变细长

3297 spinner  n. 纺纱工人,纺纱机

3298 splice  v.&n. 接合,衔接; vt. 拼接

3299 split  n. 劈开,裂片,裂口; a. 分散的; v. 分离,分开,劈开

3300 splitting  爆裂式的

3301 spool  n. 线轴,缠线用的框; v. 缠绕在线轴上

3302 spot  n. 污点,地点,斑点; a. 当场的,现实买卖的; v. 污点,认出,用灯光照射

3303 spread  n. 传布,伸展; a. 扩延的; v. 传布,推广,伸出

3304 spreadsheet  电子表格,数据表

3305 spring  n. 春天,弹簧,跳跃,泉水; a. 春天的; v. 弹起，弹出,跳,裂开

3306 sprite  n. 精灵

3307 spurious  a. 假的,伪造的

3308 SQL  结构化查询语言

3309 square  n. 正方形,街区,平方; a. 正方形的,正直的,公正的; v. 一致,符合,使...成方形; n. 广场

3310 square brackets  方括号

3311 square wave  方波

3312 squeeze  n. 压榨,挤; v. 紧握,挤


3313 stability  n. 稳定性

3314 stabilization  稳定化

3315 stabilizer  稳定剂,稳定器

3316 stable  a. 稳定的,安定的; n. 马厩,马棚

3317 stack  n. 堆叠,堆; v. 堆积,做牌,选派

3318 stacker  栈式存储器

3319 stack-up  层叠

3320 stackware  栈件

3321 stage  n. 阶段,舞台,驿站; v. 上演,表演,乘驿车旅行

3322 staging  分段运输

3323 stamp  n. 印,邮票,打印器; v. 捺印,顿足,贴上邮票

3324 stand  n. 站立,停顿,楼台,货摊; v. 站立,忍受,位于,坐落

3325 stand-alone  独立

3326 standardize  v. 标准化,使合于标准

3327 standby  备用

3328 stanza  n. 节

3329 star  n. 星,明星; v. 以星状物装饰,变成演员

3330 start  n. 起点; v. 开始,起身,出发

3331 start bit  起始位

3332 start logging  开始登录

3333 starter  n. 起动机(发射架,发起者,调度员)

3334 starting  n.出发，开始

3335 start-up  启动

3336 startup disk  启动盘

3337 startup screen  启动屏幕

3338 state  n. 州,国,情形; a. 国家的,正式的; v. 说,陈述,声明,规定

3339 stated  a. 决定了的,一定的,定期的; v. 陈述,说明; vbl. 陈述,说明

3340 statement  n. 声明,陈述

3341 static  n. 静电,静电干扰; a. 静态的,静电的

3342 static object  静态对象

3343 static RAM  静态RAM

3344 station  n. 车站,站,位置; v. 安置,配置

3345 stationary  a. 不动的(稳定的); n. 固定物(驻军)

3346 statistical  a. 统计的,统计学的

3347 statistics  n. 统计,统计数字,统计学

3348 status  n. 地位,身份,情形,状况

3349 status bar  状态栏

3351 stay  n. 停留,停止,依靠; v. 停留,留宿,制止

3352 steady state  稳态

3353 step  n. 步骤,步,踏级; v. 踏,以步测量

3354 step frame  步进帧(采集)

3355 stereo  a. 立体声的; n. 立体声

3356 stereophonic  立体声的

3357 stick model  条形造型

3358 sticky  a. 粘的,粘性的

3359 still  a. 静止的,不动的,静寂的; ad. 仍然,更,静止地; conj. 然而,但是

3360 stipple  v. 点画,点描

3361 stockroom  库房

3362 stop  n. 停止,车站,滞留; v. 停止,停止,制止

3363 stop bit  停止位

3364 stop logging  暂停登录

3365 stopping  停止,停下来

3366 storage  n. 储存体,储藏,仓库

3367 storatron  存储管

3368 store  n. 商店,贮藏,仓库; v. 储存,贮藏,供给

3369 storeroom   n. 储藏室

3370 story board  故事板

3371 straight  a. 直的,正直的,坦率的; ad. 直接

3372 strategy  n. 战略,策略

3373 stratification  成层法

3374 stray  n. 走失的家畜,浪子; a. 迷途的,偶然的; v. 迷路,彷徨

3375 stream  n. 流,水流,人潮; v. 使流出,流动

3376 stretch  n. 伸展,张开; a. 可伸缩的; v. 伸展,张开,延伸

3377 stride  n. 大步,一跨步; v. 迈大步走,跨过

3378 strike  n. 罢工,打击,殴打; v. 打,罢工,划燃

3379 strikeout  加删除线

3380 string  n. 线,一串,字串; v. 串起,成串,收紧

3381 stroke  n. 笔划,打,中风; v. 划尾桨,抚

3382 strong  a. 强壮的

3383 structural  a. 结构的,构造的

3384 structure  n. 结构,构造,建筑物; v. 构成,建立,建造

3385 structured  a. 有组织的,有结构的,有安排的

3386 stub  n. 断株,烟蒂; v. 挖除断株,连根拔除

3387 stuff  n. 材料,原料,东西; v. 填满,塞满

3388 style  n. 风格,时尚,字体; v. 称呼,设计

3389 style sheet  样式单

3390 stylus  n. 铁笔,尖笔,唱针

3391 subassembly  部件，组件

3392 subchannel  子通道，分通道

3393 subclass  子类，小分类，子集合

3394 subcommand  子命令

3395 subcontractor  转包商,次承包商

3396 subdirectory  分目录，子目录

3397 subgroup  子群；给…加副标题

3398 subheading  n. 副标题

3399 subject  n. 科目,主题; a. 服从的,易患的

3400 sublayer  子层

3401 subminiature  超小型

3402 submission  n. 服从,柔和

3403 submit  vt.呈送,递交,主张; vt. 使服从,屈服

3404 submodule  子模块

3405 subordinate  n. 属下,附属物; a. 下级的,次要的,附属的; v. 使...居下位,使...服从

3406 subprogram  子程序，辅程序

3407 subroutine  子程序

3408 subscribe  v. 捐献,赞成,订阅

3409 subscriber  n. 签署者,捐献者,订户

3410 subscript  下标,标记,索引

3411 subsequence  n. 随后,随后发生的事,结果

3412 subsequent  a. 随后的,后来的

3413 subsequently  ad. 后来,随后
3414 subserve  促进,帮助

3415 subset  子集

3416 subsidiary  a. 辅助的,附属的; n. 子公司,附属机构

3417 substantial  n. 重要部份,本质; a. 大量的,实质上的,有内容的

3418 substantially  ad. 实质上,本质上,大体上

3419 substitute  n. 代替者,代用品; v. 代替; vi. (for)代替; vt. 用...代替,代以

3420 substitution  n. 代理,替换,交换

3421 subsystem  子系统

3422 subtotal  小计

3423 subtract  v. 减去,扣掉,减少

3424 subtracter  减法器

3425 subtraction  n. 减法,减去

3426 subtree  子树

3427 subtype  图表类型

3428 successful  a. 成功的

3429 succession  n. 连续,继承权,继位

3430 successive  a. 接连的,连续的,接二连三的

3431 successor  n. 继承人

3432 such  a. 如此的,这样的

3433 sudden death  突然故障

3434 sufficient  a. 足够的,充分的

3435 suffix  n. 后缀

3436 suggest  v. 建议,提出

3437 suggestion  n. 建议

3438 suitable  a. 合适的,适宜的

3439 suitcase  n. 手提箱

3440 sum  n. 总数,全部,概略; v. 总计,概括,合计

3441 summarize  v. 概述,摘要而言

3442 summary  n. 摘要,概要; a. 摘要的,简略的

3443 summary info  摘要信息

3444 sun  n. 太阳; vt. 晒太阳

3445 superclass   超类

3446 supercomputer  n. 巨型电子计算机

3447 superimpose  v. 将某物置於另一物上（尤指後者仍可见、 可闻等）

3448 superscalar  超标量

3449 superscript  上标

3450 superset  超集，扩展集

3451 supervise  v. 监督,管理,指导

3452 supervisor  n. 监督人, 管理人, 检查员, 督学, 主管人,导师

3453 supervisory  管理的,监控的

3454 supplier  n. 供给的人,供给国,承制厂商

3455 supplies  物资，贮藏量

3456 supply  n. 补给,供给; v. 补给,供给

3457 support  n. 支持,援助,供养; vt. 支援,帮助,支持

3458 supporters  支持者，载体

3459 suppose  v. 推想,假设,以为,认为; 应该,获准(be suppose to),让(虚拟语气)

3460 supposed  v. 假定(必须以...为条件); a. 想象上的

3461 suppress  v. 镇压,使...止住,禁止

3462 suppression  n. 抑压,镇压,抑制

3463 sure  a. 确信,必然的,必定的; ad. 当然,确实地,无疑地

3464 surface  n. 表面,平面; a. 表面的,肤浅的; v. 使...成平面,被露出来,在表面工作

3465 surge  n. 巨涌,汹涌,澎湃; v. 汹涌,澎湃

3466 surplus  a. 多余的,过剩的; n. 过剩,剩余物,盈余,顺差

3467 surrounding  a. 周围的; n. 环境,周围的事物

3468 surveillance  n. 监视,监督

3469 survey  n. 纵览,视察,测量; v. 审视,视察,通盘考虑,调查

3470 suspend  v. 推迟,悬(浮),挂,暂停,取消; vi. 吊,悬浮; vt. 悬,挂,吊,暂停,中止

3471 suspension  n. 悬挂,未决,中止

3472 sustain  v. 承受,支持,经受,维持

3473 swab  擦净

3474 swap  v.&n. 交换; vt. 交换,用...作交易

3475 swap file  交换文件

3476 swim  游泳

3477 switch  n. 开关,转换,接通或切断…电流,转动; v. 转变,切换,摆动

3478 syllable  n. 音节

3479 syllogism  n. 三段论法,推论法,演绎

3480 symbol  n. 符号,标志,象征

3481 symbolic  n. 代号; a. 象征的,符号的

3482 symmetric  （指图案等）对称的

3483 symptom  n. 症状,征兆

3484 sync  同步

3485 sync bit  同步位

3486 sync pulses  同步脉冲

3487 synchronization  同步化

3488 synchronize  v. 使同时,同时发生

3489 synchronous  a. 同时的,同步的

3490 synergic  a. 协作的(合作的)

3491 synergistic  协同的,协作的

3492 synonym  n. 同义词

3493 syntactic  语法的,句法的

3494 syntactical  a.句法的

3495 syntax  n. 句法

3496 synthesizer  n. 合成器(综合器)

3497 system  n. 系统,体系,制度,体制

3498 tab  (tabulate)制表

3501 tablet  n. 药片,匾

3502 tabs  跳格设定，制表符

3503 tabulate  v. 作成表,作成一览表,使成平面; a. 平板状的,平面的

3504 tabulator  制表机,跳格键

3505 tachometer  转速计

3506 tactics  n. 策略,战术

3507 tag  n. 标签,附属物,名称; v. 附以签条,尾随,添饰; n.标记, 标记符

3508 tailgate  尾板,后档板

3509 tailor  n. 裁缝师,成衣匠; v. 缝制,做裁缝,使...适应

3510 take  v. (took,taken) 拿,取; v. 修(课程),花费,记录,认为,搭乘

3511 talent  n. 才能,人才,天资

3512 talk  n. 谈话,会谈,讲话; v. 说话,谈话,讨论

3513 talker  n. 说话的人,健谈者

3514 tandem  串联

3515 tape  n. 录像带,录音带,磁带,带子; v. 以带子绑起

3516 target  n. 靶,目标; vt. 把...作为目标; 塔吉特(财富500强公司之一，总部所在地美国,主要经营零售)

3517 tariff  n. 关税

3518 task  n. 工作,任务

3519 teach  v. 教,教书,教导

3520 team  n. 队,组; v. 协同工作

3521 technical  a. 工艺的,技术的

3522 technique  n. 技术

3523 technology  n. 技术,工艺

3524 telecommunication  n. 电传视讯,远距离通信,电磁通信

3525 telecommuting  远程联机，远程交换

3526 teledata  远程数据

3527 telegraph  n. 电报,电报机; v. 打电报,显示

3528 telemeter  遥测计

3529 telephone  n.电话，v.打电话

3530 teleprinter  电传打印机

3531 teleprocessing  远程处理

3532 teletext  文字电视广播

3533 Teletype  电传打字机,电报交换机

3534 teletypewriter  电传打字机

3535 television  n. 电视

3536 telex  n. 电传; v. 发电传

3537 tell  v. 告诉,分辨，辨别

3538 template  模板,样板

3539 tempo  n. 拍子,速率

3540 temporarily  a. 临时的; ad. 暂时地,临时地

3541 temporary  a. 暂时的,临时的; n. 临时工

3542 tenancy  n. 租用(占有)

3543 tension  n. 紧张,张力,拉力

3544 term  n. 学期,术语,名词,期限; v. 称,呼

3545 term list  检索词表

3546 terminal  n. 终端机,终点,末端; a. 终点的,按期的,致死的

3547 terminal strip  接线条，端子板

3548 terminate  a. 有结尾的,有限的; v. 结束,终止,满期

3549 terminating  使终结

3550 termination  n. 终止,结束

3551 terminology  n. 用辞,术语

3552 ternary  三进制的

3553 test  n. 测试,试验; v. 测试,试验,接受测验

3554 tetrad  四位组

3555 text  n. 本文,文件,正文; v. 发短信

3556 text file  文本文件

3557 texture  n. (材料等的)结构,质地

